global_step,timesteps,episodic_return_mean,episodic_return_std,wall_time_s
20000,20000,-1485.5998357395033,963.2677181841684,3.2649049758911133
40000,40000,-1085.9558575089952,320.12312446878593,6.784775972366333
60000,60000,-999.1957330214893,481.6581902623197,10.090834856033325
80000,80000,-2463.545266298243,1791.628266274446,13.417765855789185
100000,100000,-2748.278741291716,2079.829096873978,16.841745853424072
120000,120000,-1030.9280035374973,115.63362615743377,20.356382846832275
140000,140000,-1364.7136782226037,639.7202279704834,23.823894023895264
160000,160000,-1191.6375530080566,386.10425774783386,27.701165914535522
180000,180000,-596.1839877730927,110.72662776224595,31.531527757644653
200000,200000,-558.6560441752356,30.834739988462882,35.14899492263794
220000,220000,-354.14295675822154,42.96510233236946,39.25012993812561
240000,240000,-232.56068023253047,25.764511645985436,43.35570406913757
260000,260000,-163.93751624435288,19.464837010532776,47.43741273880005
280000,280000,-140.23355468774258,17.210887501681693,51.507903814315796
300000,300000,-124.83526315047962,19.40989484118322,55.69826793670654
320000,320000,-121.36956834052232,25.284753799576805,59.793235778808594
340000,340000,-89.40069394924026,22.330459904670107,63.91178798675537
360000,360000,-116.18299748317301,38.03181746602364,68.25054788589478
380000,380000,-88.46192554296458,36.95913521666772,72.22352194786072
400000,400000,-65.31800363773114,17.089659880670474,76.21977186203003
420000,420000,-64.51810567767782,17.60979832195558,80.26786875724792
440000,440000,-60.74858399882137,17.54442053872562,84.32319188117981
460000,460000,-94.72645563014287,14.915929748327125,88.42280864715576
480000,480000,-95.22791462008811,32.795680012603356,92.4648540019989
500000,500000,-64.03606456461668,18.175626029664326,96.45282983779907
520000,520000,-73.61280018259468,32.674291932931865,100.4311170578003
540000,540000,-60.9146840213712,14.929821076947976,104.35166478157043
560000,560000,-67.65252006283018,20.4525219808676,108.3340380191803
580000,580000,-72.36479051618757,20.939744423303345,112.28830480575562
600000,600000,-56.83147583182512,18.97229280947589,116.25321698188782
620000,620000,-36.85756896138318,15.195805128771864,120.26753306388855
640000,640000,-44.42349367136467,24.261428678695122,124.37239789962769
660000,660000,-43.49751093798094,23.27627464854163,128.47827982902527
680000,680000,-60.75802789320386,13.413088688233769,132.55486583709717
700000,700000,-35.10630229840176,19.494158474212817,136.57576394081116
720000,720000,-91.97892777295682,45.97649272372981,140.65742778778076
740000,740000,-53.81611605304623,27.282916844261873,144.520201921463
760000,760000,-81.80702927189569,33.05942339858785,148.537260055542
780000,780000,-85.21802254829603,18.02542173272009,152.5295238494873
800000,800000,-97.46197148328324,31.451385818559938,156.53888583183289
