global_step,timesteps,episodic_return_mean,episodic_return_std,wall_time_s
20000,20000,-1485.5998357395033,963.2677181841684,3.256012201309204
40000,40000,-1085.9558575089952,320.12312446878593,6.764546155929565
60000,60000,-999.1957330214893,481.6581902623197,10.154999256134033
80000,80000,-2463.545266298243,1791.628266274446,13.509863138198853
100000,100000,-2748.278741291716,2079.829096873978,16.99291229248047
120000,120000,-1030.9280035374973,115.63362615743377,20.554126262664795
140000,140000,-1364.7136782226037,639.7202279704834,24.071786165237427
160000,160000,-1191.6375530080566,386.10425774783386,28.047706127166748
180000,180000,-596.1839877730927,110.72662776224595,31.86098623275757
200000,200000,-558.6560441752356,30.834739988462882,35.90508008003235
