global_step,timesteps,episodic_return_mean,episodic_return_std,wall_time_s
20000,20000,-1485.5998357395033,963.2677181841684,3.5149660110473633
40000,40000,-1085.9558575089952,320.12312446878593,7.366101026535034
60000,60000,-999.1957330214893,481.6581902623197,11.10284686088562
80000,80000,-2463.545266298243,1791.628266274446,14.80251169204712
100000,100000,-2748.278741291716,2079.829096873978,18.704932689666748
120000,120000,-1030.9280035374973,115.63362615743377,24.129955768585205
140000,140000,-1364.7136782226037,639.7202279704834,28.836877822875977
160000,160000,-1191.6375530080566,386.10425774783386,33.5069797039032
180000,180000,-596.1839877730927,110.72662776224595,38.52665972709656
200000,200000,-558.6560441752356,30.834739988462882,42.49186086654663
220000,220000,-354.14295675822154,42.96510233236946,47.05462074279785
240000,240000,-232.56068023253047,25.764511645985436,51.63629484176636
260000,260000,-163.93751624435288,19.464837010532776,56.45257592201233
280000,280000,-140.23355468774258,17.210887501681693,60.92392587661743
300000,300000,-124.83526315047962,19.40989484118322,65.42650175094604
320000,320000,-121.36956834052232,25.284753799576805,69.7631607055664
340000,340000,-89.40069394924026,22.330459904670107,73.77092790603638
360000,360000,-116.18299748317301,38.03181746602364,77.79113173484802
380000,380000,-88.46192554296458,36.95913521666772,81.65627789497375
400000,400000,-65.31800363773114,17.089659880670474,85.73453283309937
420000,420000,-64.51810567767782,17.60979832195558,89.72330784797668
440000,440000,-60.74858399882137,17.54442053872562,93.70680785179138
460000,460000,-94.72645563014287,14.915929748327125,97.88085198402405
480000,480000,-95.22791462008811,32.795680012603356,101.8364667892456
500000,500000,-64.03606456461668,18.175626029664326,105.74536800384521
520000,520000,-73.61280018259468,32.674291932931865,109.6480119228363
540000,540000,-60.9146840213712,14.929821076947976,113.71579790115356
